類別碼,識別碼,起點編號,終點編號,管理單位,作業區分,設置日期,管線編號,尺寸單位,管徑寬度,管徑高度,涵管條數,管線材料,管線長度,管線型態,使用狀態,資料狀態,備註,OBJECTID,起點埋設深度,終點埋設深度,前一次Status_XY,QualityLV_Old,QualityLV
801010103,8010101030001103, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,5.6,0,0,1, ,547387,0.4,0.8,1,3,3
801010103,8010101030001104, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,4.2,0,0,1, ,547388,0.4,0.8,1,3,3
801010103,8010101030001105, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,6.1,0,0,1, ,547389,0.4,0.8,1,3,3
801010103,8010101030001108, , ,T3,1,1.2623E+12, AC11309916-2,1,4,2,2,PVC,12.7,0,0,0, ,547392,0.72,0.74,1,3,1
801010103,8010101030001112, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,5.8,0,0,1, ,547396,0.4,0.8,1,3,3
801010103,8010101030001113, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,23.5,0,0,1, ,547397,0.5,0.5,1,3,3
801010103,8010101030001116, , ,T3,1,1.64298E+12, ,1,6,3,2,PVC,43.99,0,0,0, ,547400,0.31,0.33,2,1,1
801010103,8010101030001123,01P03,01P01,T2,1,1.60497E+12,1,1,9,3,3,PVC,34.2,0,0,0, ,547407,0.5,0.5,2,1,1
801010103,8010101030001127, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,15,0,0,1, ,547411,0.5,0.5,1,3,3
801010103,8010101030001136, , ,T2,1,1.2623E+12, ,3,0.089,0,1,PH,18.1,0,0,1, ,547420,0.8,0.8,1,3,3
801010103,8010101030001159, , ,T2,1,1.2623E+12, ,3,0.178,0.178,3,PH,12,0,0,1, ,547443,1.2,0.5,1,3,3
801010103,8010101030001178, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,4.5,0,0,1, ,547462,0.4,0.8,1,3,3
